env_steps,mean_return,std_return,wallclock_s
1,-0.049544083942567305,0.5169342713904427,8.248270511627197
2501,-402.2503197969004,4.473262943402475,177.75293517112732
5001,-17.28674123746786,80.64451792240642,350.1920597553253
7501,-636.2645329131421,39.19116206964405,522.270886182785
10001,530.9887146333434,32.64150339748276,695.751739025116
12501,1116.1201919505977,53.778102938422656,869.6944224834442
15001,539.4079609749673,327.42425040838145,1040.873785495758
17501,1414.7374833764932,35.91201481850245,1213.0712218284607
20001,2252.7414662416872,39.575280899991746,1388.2914917469025
22501,2655.53078831984,55.21746159002109,1564.5693204402924
25001,3343.0959687256777,33.101226334689,1743.2828385829926
27501,3634.9848644441495,45.016111399626844,1922.8037629127502
30001,3905.7839985028354,99.97377924382816,2105.2602322101593
32501,4377.632948547271,57.36368609167209,2293.9838535785675
35001,4739.860490695892,104.68631875648201,2486.2143280506134
37501,5045.5409671261,144.06569875300215,2676.8930292129517
40001,5402.320325209224,69.16114430977025,2870.7301478385925
42501,3282.6941880356962,1856.3403627641985,3069.907012462616
45001,5955.1527522752185,108.14522579542287,3270.277235031128
47501,6128.513518518112,98.42380494455563,3467.305522441864
50000,6389.935730850121,129.606303068613,3675.0396811962128
