env_steps,mean_return,std_return,wallclock_s
1,-1363.6674451695367,93.73514465573729,1.0006370544433594
1001,-1744.1626956018058,78.20892765357671,8.047683000564575
2001,-1066.8158236737468,36.08823518004103,15.690463781356812
3001,-206.85849644931545,64.94797706861397,23.299864530563354
4001,-332.09498803344644,297.41856044017635,30.84000873565674
5001,-761.7761783920565,473.5641966126913,38.04326128959656
6001,-146.25983045569882,49.201621014418755,45.34187197685242
7001,-146.02591857210444,49.53536014114748,52.74750733375549
8001,-146.2462341934508,50.503860426898164,60.192177534103394
9001,-144.3868776723046,49.15921316671383,67.61491346359253
10001,-143.2866266133341,47.86133814114514,75.07921695709229
11001,-143.1168122900321,46.67703008113528,82.58398365974426
12001,-143.56124680536686,46.41742680608761,90.07615566253662
13001,-142.44484411066236,45.16186527892312,97.63403272628784
14001,-142.783138942203,46.00344161690391,105.21101427078247
15001,-141.88675374771742,44.76037931583478,112.67994379997253
16001,-142.15270688927,44.71760717830976,120.13284611701965
17001,-142.3669129175174,44.68979159574962,127.65154075622559
18001,-141.80226708076083,43.977807370049,135.1260120868683
19001,-142.00621412902024,43.63712317276219,142.60721898078918
20000,-142.2759916750389,43.82425803111953,150.178288936615
